VD;Motivo
698;Sem inventário correspondente
871;Sem inventário correspondente
2428;Sem inventário correspondente
2429;Sem inventário correspondente
2496;Sem inventário correspondente
288;Sem inventário correspondente
2526;Sem inventário correspondente
2507;Sem inventário correspondente
2582;Sem inventário correspondente
2384;Sem inventário correspondente
2579;Sem inventário correspondente
1050;Sem inventário correspondente
1056;Sem inventário correspondente
1129;Sem inventário correspondente
1195;Sem inventário correspondente
1507;Sem inventário correspondente
1829;Sem inventário correspondente
1517;Sem inventário correspondente
1665;Sem inventário correspondente
1049;Sem inventário correspondente
1099;Sem inventário correspondente
1726;Sem inventário correspondente
1728;Sem inventário correspondente
1628;Sem inventário correspondente
1127;Sem inventário correspondente
1128;Sem inventário correspondente
1167;Sem inventário correspondente
1621;Sem inventário correspondente
236;Sem inventário correspondente
353;Sem inventário correspondente
349;Sem inventário correspondente
1837;Sem inventário correspondente
1649;Sem inventário correspondente
1659;Sem inventário correspondente
1024;Sem inventário correspondente
1094;Sem inventário correspondente
1147;Sem inventário correspondente
1197;Sem inventário correspondente
1200;Sem inventário correspondente
1290;Sem inventário correspondente
1541;Sem inventário correspondente
1813;Sem inventário correspondente
1774;Sem inventário correspondente
1750;Sem inventário correspondente
1107;Sem inventário correspondente
1133;Sem inventário correspondente
1453;Sem inventário correspondente
1673;Sem inventário correspondente
1656;Sem inventário correspondente
1522;Sem inventário correspondente
1526;Sem inventário correspondente
1594;Sem inventário correspondente
1843;Sem inventário correspondente
1816;Sem inventário correspondente
1396;Sem inventário correspondente
1055;Sem inventário correspondente
1064;Sem inventário correspondente
1157;Sem inventário correspondente
1374;Sem inventário correspondente
1376;Sem inventário correspondente
1543;Sem inventário correspondente
1763;Sem inventário correspondente
1734;Sem inventário correspondente
1356;Sem inventário correspondente
1306;Sem inventário correspondente
1006;Sem inventário correspondente
1081;Sem inventário correspondente
1661;Sem inventário correspondente
1383;Sem inventário correspondente
1604;Sem inventário correspondente
1382;Sem inventário correspondente
1379;Sem inventário correspondente
1851;Sem inventário correspondente
1095;Sem inventário correspondente
1166;Sem inventário correspondente
1548;Sem inventário correspondente
1564;Sem inventário correspondente
1652;Sem inventário correspondente
1630;Sem inventário correspondente
1113;Sem inventário correspondente
1455;Sem inventário correspondente
1567;Sem inventário correspondente
1171;Sem inventário correspondente
1800;Sem inventário correspondente
1058;Sem inventário correspondente
1096;Sem inventário correspondente
1004;Sem inventário correspondente
1294;Sem inventário correspondente
1496;Sem inventário correspondente
1579;Sem inventário correspondente
1577;Sem inventário correspondente
1180;Sem inventário correspondente
1343;Sem inventário correspondente
1344;Sem inventário correspondente
1608;Sem inventário correspondente
1345;Sem inventário correspondente
1499;Sem inventário correspondente
1565;Sem inventário correspondente
1067;Sem inventário correspondente
1082;Sem inventário correspondente
1087;Sem inventário correspondente
1498;Sem inventário correspondente
1143;Sem inventário correspondente
1176;Sem inventário correspondente
1461;Sem inventário correspondente
1125;Sem inventário correspondente
1170;Sem inventário correspondente
1611;Sem inventário correspondente
1575;Sem inventário correspondente
1424;Sem inventário correspondente
1912;Sem inventário correspondente
1327;Sem inventário correspondente
1740;Sem inventário correspondente
1731;Sem inventário correspondente
1086;Sem inventário correspondente
1835;Sem inventário correspondente
1020;Sem inventário correspondente
1028;Sem inventário correspondente
1060;Sem inventário correspondente
1063;Sem inventário correspondente
1139;Sem inventário correspondente
1589;Sem inventário correspondente
1302;Sem inventário correspondente
1019;Sem inventário correspondente
1187;Sem inventário correspondente
1328;Sem inventário correspondente
1584;Sem inventário correspondente
1646;Sem inventário correspondente
1617;Sem inventário correspondente
1847;Sem inventário correspondente
1820;Sem inventário correspondente
1503;Sem inventário correspondente
1034;Sem inventário correspondente
1339;Sem inventário correspondente
1644;Sem inventário correspondente
1819;Sem inventário correspondente
1219;Sem inventário correspondente
1464;Sem inventário correspondente
1550;Sem inventário correspondente
1669;Sem inventário correspondente
1807;Sem inventário correspondente
1031;Sem inventário correspondente
1175;Sem inventário correspondente
1216;Sem inventário correspondente
1391;Sem inventário correspondente
1395;Sem inventário correspondente
1394;Sem inventário correspondente
1393;Sem inventário correspondente
1149;Sem inventário correspondente
1544;Sem inventário correspondente
1131;Sem inventário correspondente
1045;Sem inventário correspondente
1111;Sem inventário correspondente
1308;Sem inventário correspondente
1112;Sem inventário correspondente
1168;Sem inventário correspondente
1211;Sem inventário correspondente
1337;Sem inventário correspondente
1490;Sem inventário correspondente
1643;Sem inventário correspondente
1353;Sem inventário correspondente
1338;Sem inventário correspondente
1115;Sem inventário correspondente
1136;Sem inventário correspondente
1150;Sem inventário correspondente
1181;Sem inventário correspondente
1300;Sem inventário correspondente
1341;Sem inventário correspondente
1609;Sem inventário correspondente
1349;Sem inventário correspondente
1348;Sem inventário correspondente
1775;Sem inventário correspondente
1084;Sem inventário correspondente
1130;Sem inventário correspondente
1199;Sem inventário correspondente
1233;Sem inventário correspondente
1140;Sem inventário correspondente
1463;Sem inventário correspondente
1742;Sem inventário correspondente
1105;Sem inventário correspondente
1228;Sem inventário correspondente
1655;Sem inventário correspondente
1088;Sem inventário correspondente
1445;Sem inventário correspondente
1091;Sem inventário correspondente
1202;Sem inventário correspondente
1467;Sem inventário correspondente
1662;Sem inventário correspondente
1758;Sem inventário correspondente
1741;Sem inventário correspondente
1076;Sem inventário correspondente
1138;Sem inventário correspondente
1562;Sem inventário correspondente
1213;Sem inventário correspondente
1137;Sem inventário correspondente
1817;Sem inventário correspondente
1016;Sem inventário correspondente
1551;Sem inventário correspondente
1590;Sem inventário correspondente
1619;Sem inventário correspondente
1052;Sem inventário correspondente
1062;Sem inventário correspondente
1074;Sem inventário correspondente
1212;Sem inventário correspondente
1303;Sem inventário correspondente
1054;Sem inventário correspondente
1071;Sem inventário correspondente
1914;Sem inventário correspondente
1642;Sem inventário correspondente
1135;Sem inventário correspondente
1502;Sem inventário correspondente
1518;Sem inventário correspondente
1588;Sem inventário correspondente
1760;Sem inventário correspondente
1597;Sem inventário correspondente
1599;Sem inventário correspondente
1648;Sem inventário correspondente
1601;Sem inventário correspondente
1570;Sem inventário correspondente
1654;Sem inventário correspondente
1657;Sem inventário correspondente
1539;Sem inventário correspondente
1010;Sem inventário correspondente
1593;Sem inventário correspondente
1558;Sem inventário correspondente
1042;Sem inventário correspondente
1043;Sem inventário correspondente
1075;Sem inventário correspondente
1110;Sem inventário correspondente
1603;Sem inventário correspondente
1626;Sem inventário correspondente
1668;Sem inventário correspondente
1103;Sem inventário correspondente
1101;Sem inventário correspondente
1214;Sem inventário correspondente
1505;Sem inventário correspondente
1605;Sem inventário correspondente
1666;Sem inventário correspondente
1330;Sem inventário correspondente
1547;Sem inventário correspondente
1571;Sem inventário correspondente
1664;Sem inventário correspondente
1614;Sem inventário correspondente
1591;Sem inventário correspondente
1178;Sem inventário correspondente
1797;Sem inventário correspondente
1639;Sem inventário correspondente
1001;Sem inventário correspondente
1142;Sem inventário correspondente
1015;Sem inventário correspondente
1092;Sem inventário correspondente
1177;Sem inventário correspondente
1196;Sem inventário correspondente
235;Sem inventário correspondente
1194;Sem inventário correspondente
1545;Sem inventário correspondente
232;Sem inventário correspondente
1003;Sem inventário correspondente
1057;Sem inventário correspondente
1122;Sem inventário correspondente
1008;Sem inventário correspondente
1848;Sem inventário correspondente
1059;Sem inventário correspondente
1080;Sem inventário correspondente
1132;Sem inventário correspondente
1186;Sem inventário correspondente
1193;Sem inventário correspondente
1061;Sem inventário correspondente
1217;Sem inventário correspondente
1618;Sem inventário correspondente
1174;Sem inventário correspondente
1317;Sem inventário correspondente
1681;Sem inventário correspondente
1658;Sem inventário correspondente
1027;Sem inventário correspondente
1044;Sem inventário correspondente
1065;Sem inventário correspondente
1085;Sem inventário correspondente
1090;Sem inventário correspondente
1036;Sem inventário correspondente
1918;Sem inventário correspondente
1021;Sem inventário correspondente
1188;Sem inventário correspondente
1559;Sem inventário correspondente
1007;Sem inventário correspondente
1069;Sem inventário correspondente
1116;Sem inventário correspondente
1172;Sem inventário correspondente
1204;Sem inventário correspondente
1319;Sem inventário correspondente
1123;Sem inventário correspondente
1795;Sem inventário correspondente
1068;Sem inventário correspondente
1100;Sem inventário correspondente
1117;Sem inventário correspondente
1191;Sem inventário correspondente
1321;Sem inventário correspondente
1114;Sem inventário correspondente
1849;Sem inventário correspondente
1838;Sem inventário correspondente
1158;Sem inventário correspondente
1466;Sem inventário correspondente
1587;Sem inventário correspondente
1404;Sem inventário correspondente
1729;Sem inventário correspondente
1524;Sem inventário correspondente
1651;Sem inventário correspondente
1098;Sem inventário correspondente
1169;Sem inventário correspondente
1309;Sem inventário correspondente
1743;Sem inventário correspondente
1744;Sem inventário correspondente
1201;Sem inventário correspondente
1242;Sem inventário correspondente
1581;Sem inventário correspondente
1773;Sem inventário correspondente
1236;Sem inventário correspondente
1841;Sem inventário correspondente
1828;Sem inventário correspondente
1761;Sem inventário correspondente
1037;Sem inventário correspondente
1227;Sem inventário correspondente
1520;Sem inventário correspondente
1730;Sem inventário correspondente
1120;Sem inventário correspondente
1146;Sem inventário correspondente
1220;Sem inventário correspondente
1221;Sem inventário correspondente
1224;Sem inventário correspondente
1237;Sem inventário correspondente
1542;Sem inventário correspondente
1229;Sem inventário correspondente
1492;Sem inventário correspondente
1447;Sem inventário correspondente
1462;Sem inventário correspondente
1239;Sem inventário correspondente
1737;Sem inventário correspondente
1426;Sem inventário correspondente
1238;Sem inventário correspondente
1635;Sem inventário correspondente
1402;Sem inventário correspondente
1727;Sem inventário correspondente
1834;Sem inventário correspondente
1554;Sem inventário correspondente
1446;Sem inventário correspondente
1641;Sem inventário correspondente
1808;Sem inventário correspondente
1182;Sem inventário correspondente
1011;Sem inventário correspondente
1350;Sem inventário correspondente
1525;Sem inventário correspondente
1560;Sem inventário correspondente
1555;Sem inventário correspondente
1600;Sem inventário correspondente
1025;Sem inventário correspondente
1097;Sem inventário correspondente
1035;Sem inventário correspondente
1653;Sem inventário correspondente
1508;Sem inventário correspondente
1595;Sem inventário correspondente
355;Sem inventário correspondente
1232;Sem inventário correspondente
1365;Sem inventário correspondente
1093;Sem inventário correspondente
1029;Sem inventário correspondente
1230;Sem inventário correspondente
233;Sem inventário correspondente
231;Sem inventário correspondente
1179;Sem inventário correspondente
1218;Sem inventário correspondente
1235;Sem inventário correspondente
1367;Sem inventário correspondente
1473;Sem inventário correspondente
1506;Sem inventário correspondente
1240;Sem inventário correspondente
1634;Sem inventário correspondente
336;Sem inventário correspondente
1013;Sem inventário correspondente
1198;Sem inventário correspondente
1444;Sem inventário correspondente
1738;Sem inventário correspondente
1485;Sem inventário correspondente
1183;Sem inventário correspondente
1429;Sem inventário correspondente
1476;Sem inventário correspondente
1141;Sem inventário correspondente
1735;Sem inventário correspondente
1557;Sem inventário correspondente
1108;Sem inventário correspondente
1650;Sem inventário correspondente
1746;Sem inventário correspondente
1109;Sem inventário correspondente
1398;Sem inventário correspondente
1663;Sem inventário correspondente
1772;Sem inventário correspondente
1134;Sem inventário correspondente
1144;Sem inventário correspondente
1046;Sem inventário correspondente
1047;Sem inventário correspondente
1627;Sem inventário correspondente
134;Sem inventário correspondente
848;Sem inventário correspondente
752;Sem inventário correspondente
577;Sem inventário correspondente
881;Sem inventário correspondente
356;Sem inventário correspondente
876;Sem inventário correspondente
2060;Sem inventário correspondente
394;Sem inventário correspondente
717;Sem inventário correspondente
833;Sem inventário correspondente
2179;Sem inventário correspondente
911;Sem inventário correspondente
2041;Sem inventário correspondente
391;Sem inventário correspondente
574;Sem inventário correspondente
952;Sem inventário correspondente
392;Sem inventário correspondente
878;Sem inventário correspondente
2213;Sem inventário correspondente
959;Sem inventário correspondente
2012;Sem inventário correspondente
040;Sem inventário correspondente
471;Sem inventário correspondente
2020;Sem inventário correspondente
049;Sem inventário correspondente
096;Sem inventário correspondente
2023;Sem inventário correspondente
2031;Sem inventário correspondente
997;Sem inventário correspondente
442;Sem inventário correspondente
451;Sem inventário correspondente
455;Sem inventário correspondente
152;Sem inventário correspondente
2038;Sem inventário correspondente
664;Sem inventário correspondente
2024;Sem inventário correspondente
2028;Sem inventário correspondente
438;Sem inventário correspondente
2037;Sem inventário correspondente
2131;Sem inventário correspondente
2029;Sem inventário correspondente
072;Sem inventário correspondente
279;Sem inventário correspondente
837;Sem inventário correspondente
440;Sem inventário correspondente
800;Sem inventário correspondente
657;Sem inventário correspondente
855;Sem inventário correspondente
472;Sem inventário correspondente
102;Sem inventário correspondente
895;Sem inventário correspondente
415;Sem inventário correspondente
066;Sem inventário correspondente
443;Sem inventário correspondente
729;Sem inventário correspondente
287;Sem inventário correspondente
